序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
1,688790,N昂瑞-UW,227.4,173.78,144.34,64782.0,1486224572.0,27.69,244.0,221.0,240.0,83.06,,53.73,-270.43,7.96,22633505851.0,2741914385.0,-0.3,-0.69,173.78,173.78
2,920092,汉鑫科技,39.75,29.99,9.17,66433.0,245307544.72,25.25,39.75,32.03,33.0,30.58,15.58,20.87,-89.05,6.64,2467668075.0,1265485174.0,0.0,0.0,-5.63,13.73
3,920765,美之高,33.41,24.99,6.68,48541.0,152620388.38,26.19,34.0,27.0,27.38,26.73,6.84,9.19,-496.85,9.42,2903999773.0,1764285345.0,1.24,1.27,54.25,28.6
4,300552,万集科技,28.06,20.02,4.68,203496.0,567257402.12,6.63,28.06,26.51,26.91,23.38,21.59,14.77,-38.62,3.33,5980515123.0,3865613674.0,0.0,0.0,-3.31,-18.31
5,920576,天力复合,82.01,18.68,12.91,109226.0,783616581.93,27.71,83.0,63.85,67.0,69.1,1.84,10.2,298.24,19.93,8934989500.0,8785538905.0,-0.47,3.85,163.02,298.88
6,920906,舜宇精工,31.5,18.51,4.92,73349.0,219163689.36,20.99,32.98,27.4,27.44,26.58,7.23,22.1,41.71,3.51,2046555000.0,1045271525.0,0.13,0.0,-3.96,86.61
7,920806,云星宇,15.37,18.05,2.35,173949.0,259381639.63,17.51,15.98,13.7,13.73,13.02,12.76,5.78,140.43,3.1,4622322572.0,4622322572.0,0.46,-0.13,-1.85,21.41
8,300516,久之洋,65.51,16.96,9.5,215532.0,1344284047.23,16.05,67.0,58.01,58.01,56.01,2.82,11.97,406.69,9.08,11791800000.0,11791800000.0,-0.44,-1.86,74.51,94.05
9,300771,智莱科技,16.8,16.26,2.35,526935.0,850664318.16,15.78,17.34,15.06,15.09,14.45,5.58,29.08,44.23,2.05,4032000000.0,3044145518.0,-3.11,-3.11,29.73,62.01
10,920475,三友科技,18.85,14.1,2.33,46822.0,88672551.85,14.77,19.94,17.5,17.55,16.52,9.27,11.14,-195.84,5.39,1904981000.0,792118432.0,0.75,0.53,-14.82,17.3
11,688323,瑞华泰,22.75,13.18,2.65,173262.0,376586623.0,16.52,23.31,19.99,19.99,20.1,2.68,9.63,-48.97,5.41,4095005096.0,4095005096.0,1.11,1.16,48.02,85.11
12,301488,豪恩汽电,141.86,12.25,15.48,61769.0,863761155.57,6.88,143.96,135.26,136.58,126.38,7.63,26.38,153.53,9.77,13051120000.0,3321252990.0,-0.01,-0.09,-20.37,158.92
13,300542,新晨科技,20.64,11.03,2.05,274956.0,558282567.04,17.54,21.6,18.34,18.51,18.59,6.57,11.1,-203.78,11.38,6162276315.0,5111776787.0,-0.19,-0.05,-4.84,0.49
14,300377,赢时胜,24.05,10.52,2.29,1318285.0,3014582669.68,13.47,24.3,21.37,21.62,21.76,2.22,19.08,-313.5,7.16,18061624074.0,16618414286.0,-0.62,-0.08,3.62,-12.74
15,920171,志晟信息,24.28,10.41,2.29,51742.0,119628648.38,14.37,24.88,21.72,21.84,21.99,2.37,7.68,-464.46,11.57,2433662946.0,1635539842.0,0.0,-1.3,-15.96,16.67
16,002329,皇氏集团,4.58,10.1,0.42,362447.0,166000588.6,0.0,4.58,4.58,4.58,4.16,0.72,5.57,-58.06,4.27,3812410251.0,2978781272.0,0.0,0.0,16.54,26.17
17,601933,永辉超市,5.56,10.1,0.51,13036368.0,7121861302.0,10.3,5.56,5.04,5.04,5.05,2.31,14.37,-53.31,13.67,50457205681.0,50457205681.0,0.0,0.0,3.93,-12.3
18,000890,法尔胜,7.11,10.06,0.65,208354.0,148139701.11,0.0,7.11,7.11,7.11,6.46,1.22,4.97,-98.26,-538.09,2982673212.0,2982581337.0,0.0,0.0,72.57,124.29
19,000716,黑芝麻,6.68,10.05,0.61,741325.0,491381803.3,9.88,6.68,6.08,6.09,6.07,6.28,10.03,553.13,1.97,5029265454.0,4935079371.0,0.0,0.0,1.67,-2.2
20,002703,浙江世宝,13.15,10.04,1.2,150763.0,198253608.0,0.0,13.15,13.15,13.15,11.95,3.47,2.57,54.21,5.29,10817615850.0,7706532173.0,0.0,0.0,-2.66,16.27
21,603123,翠微股份,12.84,10.03,1.17,464878.0,584146494.0,10.88,12.84,11.57,11.6,11.67,5.45,7.13,-24.72,5.61,10255778779.0,8375223185.0,0.0,0.0,-3.39,59.5
22,601566,九牧王,15.03,10.03,1.37,372971.0,550693017.0,12.08,15.03,13.38,13.44,13.66,0.92,6.49,20.88,2.12,8636796365.0,8636796365.0,0.0,0.0,72.76,85.33
23,001331,胜通能源,19.64,10.03,1.79,2877.0,5650153.04,0.0,19.64,19.64,19.64,17.85,0.1,0.17,93.65,3.66,5543193600.0,3297078336.0,0.0,0.0,41.81,149.87
