序号,代码,名称,最新价,涨跌幅,涨跌额,成交量,成交额,振幅,最高,最低,今开,昨收,量比,换手率,市盈率-动态,市净率,总市值,流通市值,涨速,5分钟涨跌,60日涨跌幅,年初至今涨跌幅
24,600865,百大集团,14.38,10.02,1.31,80691.0,116033399.0,0.0,14.38,14.38,14.38,13.07,0.4,2.14,169.3,2.35,5410335744.0,5410335744.0,0.0,0.0,41.81,24.07
25,600271,航天信息,10.65,10.02,0.97,1777193.0,1785393605.0,11.47,10.65,9.54,9.68,9.68,4.93,9.59,-32.33,1.46,19733221395.0,19733221395.0,0.0,0.0,26.63,16.9
26,001208,华菱线缆,19.77,10.02,1.8,671973.0,1310775176.55,3.45,19.77,19.15,19.45,17.97,4.54,25.51,102.7,4.36,12620188041.0,5207373458.0,0.0,0.0,58.16,119.18
27,001255,博菲电气,34.05,10.02,3.1,51518.0,171592626.8,12.67,34.05,30.13,30.95,30.95,8.01,7.25,306.42,3.36,2943628765.0,2419456800.0,0.0,0.0,3.72,20.11
28,600697,欧亚集团,14.38,10.02,1.31,95469.0,135458371.0,10.02,14.38,13.07,13.07,13.07,1.79,6.14,96.42,1.0,2287686519.0,2234307096.0,0.0,0.0,4.05,12.78
29,002813,路畅科技,28.46,10.01,2.59,72744.0,198272977.0,9.47,28.46,26.01,27.5,25.87,4.63,6.07,-36.85,13.68,3415200000.0,3411103895.0,0.0,0.0,6.31,27.45
30,603390,通达电气,13.19,10.01,1.2,177572.0,226535882.0,8.51,13.19,12.17,12.26,11.99,13.24,5.07,63.38,2.87,4638289669.0,4623279040.0,0.84,2.41,-1.2,21.12
31,600733,北汽蓝谷,8.24,10.01,0.75,3343473.0,2704864688.0,5.07,8.24,7.86,8.24,7.49,10.48,6.83,-10.05,22.01,45925666113.0,40307706229.0,0.0,0.0,-6.26,3.0
32,001317,三羊马,52.0,10.01,4.73,46202.0,235907761.81,6.39,52.0,48.98,49.28,47.27,1.76,13.19,-282.95,4.47,4449421496.0,1820943384.0,0.0,0.0,6.27,87.93
33,600198,大唐电信,9.46,10.0,0.86,490967.0,449726314.0,11.4,9.46,8.48,8.6,8.6,2.31,3.77,-186.55,44.98,12332089498.0,12316445146.0,0.0,0.0,11.56,9.62
34,600280,中央商场,4.62,10.0,0.42,2337192.0,1061541855.0,10.0,4.62,4.2,4.2,4.2,2.73,20.71,-73.03,8.46,5212906721.0,5212906721.0,0.0,0.0,27.62,12.41
35,002792,通宇通讯,35.21,10.0,3.2,487956.0,1717257776.83,2.44,35.21,34.43,35.21,32.01,0.9,14.64,548.0,6.63,18467170721.0,11738540707.0,0.0,0.0,112.75,136.94
36,603023,威帝股份,5.17,10.0,0.47,713704.0,364999434.0,5.11,5.17,4.93,5.01,4.7,1.57,12.79,3066.03,3.75,2885466994.0,2885466994.0,0.0,0.0,14.63,88.69
37,002766,索菱股份,5.28,10.0,0.48,226535.0,119517515.72,0.63,5.28,5.25,5.25,4.8,3.99,2.65,21977.74,3.96,4559560495.0,4515701436.0,0.0,0.0,-5.38,-8.17
38,002187,广百股份,8.26,9.99,0.75,786232.0,642321139.02,8.26,8.26,7.64,7.66,7.51,2.22,11.22,-140.08,1.44,5789389669.0,5789389669.0,0.0,0.0,20.41,17.33
39,002853,皮阿诺,17.86,9.98,1.62,23968.0,42806169.32,0.0,17.86,17.86,17.86,16.24,0.96,1.86,-325.59,3.51,3266878831.0,2298667996.0,0.0,0.0,46.88,62.81
40,600650,锦江在线,15.98,9.98,1.45,201610.0,320226720.0,4.89,15.98,15.27,15.6,14.53,4.03,5.16,72.49,2.06,8814729510.0,6241149999.0,0.0,0.0,-2.74,15.21
41,002697,红旗连锁,6.85,9.95,0.62,1522393.0,1022034684.95,6.1,6.85,6.47,6.47,6.23,2.48,13.3,18.26,1.99,9316000000.0,7842582125.0,0.0,0.0,15.51,18.1
42,002607,中公教育,2.77,9.92,0.25,3315619.0,907274180.85,6.35,2.77,2.61,2.61,2.52,2.81,6.52,139.32,20.93,17083696308.0,14082672737.0,0.0,0.0,-8.28,-18.53
43,601366,利群股份,4.99,9.91,0.45,622321.0,307713376.0,9.25,4.99,4.57,4.57,4.54,5.96,6.81,249.02,1.15,4560525386.0,4560525386.0,0.0,0.0,9.19,-0.99
44,603528,多伦科技,10.39,9.83,0.93,670023.0,684379757.0,9.51,10.41,9.51,9.56,9.46,3.2,9.49,-277.71,3.86,7334614061.0,7334614061.0,-0.19,-0.19,12.93,32.69
45,603696,安记食品,22.58,9.72,2.0,538800.0,1203429604.0,9.43,22.64,20.7,20.7,20.58,1.83,22.91,171.56,9.15,5310816000.0,5310816000.0,0.62,-0.27,73.43,178.42
46,688291,金橙子,38.6,9.01,3.19,71648.0,265071216.0,14.57,39.49,34.33,35.41,35.41,3.69,6.98,81.4,4.16,3962934620.0,3962934620.0,-0.03,-0.46,9.29,102.52
47,300997,欢乐家,30.19,8.83,2.45,298582.0,920852334.47,12.47,32.48,29.02,29.02,27.74,2.26,7.74,940.98,13.0,13207324210.0,11653559059.0,-0.36,-0.36,54.74,99.01
48,002383,合众思壮,10.72,8.17,0.81,738955.0,771009108.07,11.91,10.9,9.72,10.1,9.91,5.37,9.98,759.34,4.69,7936662470.0,7936662470.0,-1.65,-1.65,15.64,36.04
49,920146,华阳变速,9.15,8.03,0.68,90883.0,82198089.27,12.99,9.52,8.42,8.48,8.47,4.68,8.48,3922.18,5.59,1235162553.0,980311346.0,0.0,0.11,-14.88,44.09
50,002066,瑞泰科技,21.11,7.98,1.56,107264.0,217547362.6,8.8,21.12,19.4,19.69,19.55,2.44,4.64,1773.77,7.02,4958886770.0,4876410000.0,1.05,1.49,39.52,88.82
51,301221,光庭信息,49.3,7.85,3.59,62837.0,307622904.41,7.94,50.55,46.92,47.65,45.71,13.86,10.02,76.49,2.28,4566279390.0,3092252725.0,0.2,0.31,-12.22,1.9
52,600874,创业环保,6.3,7.33,0.43,697251.0,436374800.0,7.33,6.46,6.03,6.34,5.87,8.72,5.67,10.57,0.98,9893633936.0,7751633936.0,0.16,0.16,6.06,8.62
53,002300,太阳电缆,12.62,7.31,0.86,2095058.0,2627409366.12,9.86,12.94,11.78,12.51,11.76,3.31,29.01,80.42,4.82,9115851294.0,9115050025.0,-2.47,-2.47,99.37,141.3
54,605255,天普股份,158.63,7.1,10.51,30802.0,482896523.0,9.7,162.5,148.13,148.13,148.12,1.71,2.3,893.62,26.36,21269110400.0,21269110400.0,0.2,0.68,108.92,1182.38
55,920392,佳合科技,36.24,7.09,2.4,7983.0,28332343.32,11.08,36.58,32.83,33.36,33.84,2.91,2.19,126.0,8.18,2761669200.0,1318769976.0,-0.19,-0.25,-0.14,164.72
56,002405,四维图新,8.64,7.06,0.57,941736.0,804072545.62,7.31,8.88,8.29,8.42,8.07,6.55,4.0,-21.69,2.49,20482405753.0,20354554532.0,0.12,0.35,-9.53,-10.37
57,600611,大众交通,5.8,7.01,0.38,762837.0,442128431.0,3.51,5.9,5.71,5.74,5.42,9.17,4.88,104.85,1.35,13711912611.0,9067234911.0,0.17,0.17,-7.05,-15.33
58,300051,琏升科技,7.17,7.01,0.47,356475.0,259811352.28,12.69,7.66,6.81,6.83,6.7,2.93,9.7,-22.21,16.48,2668220067.0,2636237028.0,0.0,0.0,-1.1,7.17
59,920363,莱赛激光,21.5,6.97,1.4,88224.0,200346138.08,13.18,24.0,21.35,23.01,20.1,5.13,17.27,351.98,5.84,2052175000.0,1098425755.0,-1.06,-1.38,3.42,77.69
60,920491,奥迪威,28.72,6.96,1.87,77393.0,220624408.69,6.07,29.2,27.57,27.58,26.85,3.6,6.7,42.54,3.86,4053632130.0,3319316039.0,0.14,0.28,-11.71,35.47
61,601116,三江购物,15.48,6.91,1.0,430803.0,672007924.0,10.36,15.93,14.43,14.43,14.48,1.79,7.87,55.53,2.64,8478061632.0,8478061632.0,0.13,0.13,-14.9,44.94
62,300941,创识科技,27.8,6.68,1.74,175987.0,480157139.28,14.97,28.99,25.09,26.01,26.06,1.86,16.56,278.55,4.46,5692050000.0,2954809152.0,-0.89,-1.84,6.19,-7.86
63,600879,航天电子,16.86,6.57,1.04,5081908.0,8445919983.0,10.11,17.4,15.8,16.51,15.82,2.68,15.4,199.48,2.68,55626186771.0,55626186771.0,0.6,0.18,60.11,89.23
64,300265,通光线缆,14.5,6.3,0.86,1194960.0,1705181063.55,13.34,14.98,13.16,13.57,13.64,2.9,25.57,158.25,2.91,6780219358.0,6775874795.0,-0.89,-1.16,57.1,77.26
65,600828,茂业商业,6.93,6.29,0.41,1215210.0,836081441.0,11.5,7.15,6.4,6.4,6.52,2.08,7.02,215.71,1.71,12002639044.0,11998326054.0,0.14,-0.14,55.73,58.58
66,600493,凤竹纺织,8.13,6.27,0.48,472168.0,387717273.0,13.07,8.42,7.42,7.57,7.65,2.26,17.36,105.4,1.97,2211360000.0,2211360000.0,0.62,0.25,21.71,59.1
67,002788,鹭燕医药,11.68,6.18,0.68,527853.0,605606410.11,10.91,12.0,10.8,11.15,11.0,2.61,13.83,15.49,1.4,4537875476.0,4459351596.0,-0.17,0.0,39.38,48.6
68,300698,万马科技,42.14,6.17,2.45,112308.0,475902538.0,4.89,43.2,41.26,42.32,39.69,6.68,9.47,129.58,10.97,5646760000.0,4995526038.0,-0.21,-0.17,-10.34,22.29
69,920579,机科股份,25.42,6.09,1.46,29850.0,75035255.81,7.51,25.65,23.85,24.08,23.96,3.76,6.7,1124.15,6.33,3291381600.0,1133081756.0,0.51,-0.2,-8.92,37.04
70,301187,欧圣电气,26.1,6.05,1.49,85796.0,224593158.72,9.71,26.94,24.55,24.55,24.61,6.15,3.37,38.26,4.39,6653765003.0,6653743470.0,-0.23,-0.61,-8.29,8.98
71,002961,瑞达期货,29.54,5.99,1.67,229942.0,666029894.31,10.48,30.3,27.38,27.81,27.87,1.24,5.17,25.56,4.38,13146379392.0,13146312927.0,0.03,-1.27,37.97,111.15
72,920592,华信永道,44.59,5.99,2.52,24994.0,108511453.29,7.54,44.81,41.64,42.08,42.07,1.84,4.97,-81.44,10.47,3602649050.0,2242239853.0,0.43,0.77,-6.95,-6.23
73,002869,金溢科技,23.51,5.85,1.3,102460.0,237714794.56,9.73,24.34,22.18,23.1,22.21,8.41,6.5,-105.34,1.94,4159271438.0,3703254152.0,0.26,0.38,-24.65,-10.98
74,300177,中海达,9.93,5.75,0.54,414479.0,411616101.82,6.82,10.34,9.7,10.14,9.39,3.0,6.84,-120.54,4.89,7389598825.0,6020591282.0,-0.1,0.0,-1.49,-8.98
75,920924,广脉科技,22.42,5.75,1.22,36236.0,81632856.71,9.48,23.18,21.17,21.47,21.2,3.64,5.62,126.21,7.64,2405587530.0,1444666823.0,0.63,0.67,-20.81,49.37
76,300342,天银机电,25.85,5.73,1.4,780672.0,1986551579.64,14.31,26.5,23.0,24.12,24.45,1.84,18.64,339.53,7.01,10987157671.0,10825950609.0,1.02,0.58,44.41,59.86
77,000505,京粮控股,8.52,5.71,0.46,998746.0,866402175.51,10.17,8.87,8.05,8.13,8.06,2.73,15.79,-90.2,2.01,6193616139.0,5387880463.0,0.24,0.47,26.41,38.76
78,002419,天虹股份,5.74,5.71,0.31,523841.0,295454681.83,8.47,5.83,5.37,5.42,5.43,2.17,4.48,80.46,1.64,6709186085.0,6708409251.0,0.7,0.88,2.14,-1.03
79,002232,启明信息,18.88,5.59,1.0,164803.0,305565112.81,7.77,19.29,17.9,18.43,17.88,8.3,4.03,-205.8,5.7,7713394830.0,7713394830.0,0.16,0.16,-14.92,-0.63
80,300304,云意电气,11.19,5.57,0.59,582422.0,672625899.65,15.75,12.72,11.05,12.52,10.6,9.82,6.81,22.25,2.93,9826428204.0,9573442066.0,-0.09,0.0,-21.47,41.47
81,301077,星华新材,29.0,5.53,1.52,72983.0,210113304.14,7.17,29.86,27.89,29.0,27.48,5.02,7.65,34.3,4.31,4932289289.0,2766676241.0,0.14,-0.07,10.64,66.09
82,000625,长安汽车,12.18,5.45,0.63,1887764.0,2274001838.87,3.38,12.24,11.85,12.04,11.55,9.45,2.29,29.64,1.58,120753568211.0,100608234804.0,0.08,0.16,-2.4,-6.45
83,603708,家家悦,12.15,5.38,0.62,159611.0,194302184.0,8.15,12.44,11.5,11.5,11.53,2.89,2.5,28.28,3.29,7755814901.0,7755814901.0,-0.57,0.0,8.68,8.97
84,603171,税友股份,49.98,5.38,2.55,49061.0,241420641.0,6.22,50.72,47.77,47.99,47.43,2.61,1.21,137.92,8.05,20309123100.0,20286382200.0,0.89,1.13,-1.42,64.95
85,002310,东方园林,2.57,5.33,0.13,2058924.0,532476475.61,8.2,2.68,2.48,2.58,2.44,8.14,4.9,-5597.29,10.04,15418257841.0,10791557773.0,0.0,0.0,-3.75,36.7
86,002177,御银股份,7.01,5.26,0.35,822624.0,573632641.66,9.61,7.24,6.6,6.62,6.66,7.22,12.19,342.31,3.13,5335950971.0,4731181931.0,0.0,-0.14,-10.13,56.12
87,688125,安达智能,75.88,5.26,3.79,11944.0,90441523.0,7.59,77.6,72.13,72.14,72.09,2.35,1.46,-48.2,3.34,6231747893.0,6198617168.0,-0.16,-0.16,56.74,94.22
88,920826,盖世食品,14.64,5.25,0.73,137423.0,200089975.57,7.19,14.98,13.98,14.13,13.91,2.75,22.0,43.17,5.47,2057151517.0,914626285.0,0.21,0.27,-2.59,42.14
89,600693,东百集团,17.24,5.19,0.85,1578530.0,2729625757.0,12.32,17.9,15.88,16.88,16.39,2.1,18.17,127.74,4.24,14996149281.0,14980745962.0,-0.29,0.06,166.46,149.13
90,300310,宜通世纪,6.29,5.18,0.31,474689.0,296179837.27,8.7,6.58,6.06,6.43,5.98,3.96,6.86,1225.99,2.91,5545632160.0,4351990905.0,1.29,0.64,-3.97,-16.8
91,300546,雄帝科技,24.48,5.06,1.18,103051.0,248990070.2,9.18,24.95,22.81,23.19,23.3,7.78,7.7,186.38,4.06,4568768276.0,3278214353.0,-0.49,-0.29,-9.8,45.89
92,600234,科新发展,12.47,5.05,0.6,66007.0,82366935.0,9.27,12.9,11.8,11.82,11.87,3.42,2.51,78.96,6.55,3273636533.0,3273636533.0,0.32,0.32,41.7,124.68
93,603626,科森科技,13.13,5.04,0.63,746053.0,988835861.0,11.12,13.75,12.36,12.42,12.5,2.93,13.45,-47.61,3.42,7285570330.0,7285570330.0,0.08,0.0,-1.28,68.33
94,605005,合兴股份,20.0,5.04,0.96,53640.0,104483075.0,8.51,20.49,18.87,19.21,19.04,2.2,1.34,39.41,3.93,8020000000.0,8020000000.0,-0.7,2.09,6.67,24.22
95,603920,世运电路,42.01,5.03,2.01,289589.0,1214213265.0,4.9,42.7,40.74,40.8,40.0,2.72,4.02,36.32,4.69,30272083237.0,30272083237.0,-0.12,0.05,0.31,45.87
96,603822,ST嘉澳,93.18,5.0,4.44,11897.0,110821704.0,1.68,93.18,91.69,93.18,88.74,0.85,1.55,-211.66,16.03,7158636057.0,7158636057.0,0.0,0.0,14.07,91.1
97,001270,*ST铖昌,67.49,4.99,3.21,4038.0,27252934.43,0.0,67.49,67.49,67.49,64.28,0.13,0.2,115.46,9.45,13910694668.0,13734185372.0,0.0,0.0,53.7,77.14
98,000609,ST中迪,9.9,4.98,0.47,251864.0,248035912.14,3.71,9.9,9.55,9.9,9.43,2.81,8.65,-14.68,-347.87,2962728668.0,2881476893.0,0.0,0.0,105.82,294.42
99,920533,骏创科技,28.86,4.95,1.36,42421.0,122384662.71,5.13,29.6,28.19,28.19,27.5,2.94,5.87,137.36,10.7,3773656486.0,2083977714.0,0.31,0.17,-19.86,68.97
100,920346,威贸电子,26.11,4.86,1.21,23741.0,61538978.89,6.83,26.6,24.9,25.28,24.9,3.53,5.32,46.7,4.56,2106492214.0,1164603077.0,0.0,0.0,-15.5,14.02
101,920242,建邦科技,30.2,4.86,1.4,16696.0,50347654.71,4.34,30.82,29.57,29.98,28.8,4.04,4.56,20.63,3.02,1987877250.0,1105900595.0,0.43,0.2,-17.08,28.35
102,002104,恒宝股份,19.43,4.86,0.9,665666.0,1274966733.24,13.22,20.3,17.85,18.41,18.53,4.38,11.1,276.75,6.43,13762952042.0,11652073928.0,0.15,0.67,-23.26,190.87
103,603101,汇嘉时代,10.78,4.86,0.5,278701.0,298491902.0,8.85,10.96,10.05,10.05,10.28,2.46,5.92,47.3,3.57,5070912000.0,5070912000.0,0.28,0.28,-18.15,16.16
104,600165,*ST宁科,3.45,4.86,0.16,163.0,56235.0,0.0,3.45,3.45,3.45,3.29,,0.0,-16.66,14.04,5574799024.0,2528552079.0,0.0,0.0,20.21,101.75
105,300837,浙矿股份,30.27,4.85,1.4,61912.0,189696644.0,11.85,31.9,28.48,28.58,28.87,4.87,8.98,43.76,2.2,3027053154.0,2086034529.0,0.33,0.3,17.33,52.42
106,600678,四川金顶,14.95,4.84,0.69,1184473.0,1757790077.0,17.46,15.69,13.2,13.64,14.26,2.24,33.94,122.06,18.5,5217400500.0,5217400500.0,0.13,0.0,46.0,128.59
107,920371,欧福蛋业,11.07,4.83,0.51,66724.0,75606015.36,16.29,12.22,10.5,10.64,10.56,3.73,3.45,25.79,3.81,2274282084.0,2142934342.0,-0.45,-0.36,-10.73,63.27
108,301215,中汽股份,6.53,4.82,0.3,317701.0,206247046.03,7.7,6.79,6.31,6.69,6.23,7.87,2.4,40.54,2.96,8645067000.0,8635272000.0,0.0,-0.15,1.71,11.43
109,920438,戈碧迦,43.38,4.81,1.99,46496.0,203307765.58,8.41,45.0,41.52,41.52,41.39,1.68,3.34,216.63,6.33,6274049400.0,6046913889.0,0.51,0.63,-21.27,174.73
110,605222,起帆电缆,18.23,4.77,0.83,104146.0,187398265.0,8.79,18.69,17.16,17.32,17.4,3.38,2.52,25.26,1.61,7527191957.0,7527191957.0,-0.11,-0.22,4.77,18.68
111,000661,长春高新,96.42,4.74,4.36,129090.0,1255520938.02,3.42,98.85,95.7,95.7,92.06,4.15,3.23,25.32,1.71,39333336546.0,38530836647.0,0.01,-0.04,-23.96,-0.47
112,000656,*ST金科,1.55,4.73,0.07,2038716.0,314433736.76,2.7,1.55,1.51,1.52,1.48,5.22,2.68,-1.15,-0.45,16482826530.0,11795732122.0,0.0,0.0,12.32,-10.4
113,688648,中邮科技,55.49,4.7,2.49,46060.0,253755934.0,7.47,56.89,52.93,53.99,53.0,4.81,6.62,8.42,3.38,7546640000.0,3858159993.0,-0.91,-0.56,-14.17,138.26
114,688626,翔宇医疗,49.64,4.66,2.21,26174.0,129664901.0,7.7,50.58,46.93,46.93,47.43,6.32,1.64,135.44,3.92,7942400000.0,7942400000.0,-0.06,0.02,-11.42,70.23
115,688010,福光股份,30.77,4.66,1.37,66917.0,198267134.0,9.01,30.98,28.33,29.4,29.4,2.22,4.17,-78.84,2.94,4940479755.0,4940479755.0,0.65,0.13,7.14,8.19
116,688326,经纬恒润-W,95.9,4.59,4.21,35684.0,344303414.0,9.22,102.0,93.55,99.5,91.69,6.49,3.2,-114.97,2.92,11504071936.0,10694314968.0,0.26,0.2,-21.27,14.03
117,300688,创业黑马,29.03,4.54,1.26,110007.0,318391217.76,3.64,29.28,28.27,28.48,27.77,4.96,7.41,-146.18,12.15,4859025840.0,4307426636.0,0.03,0.0,-5.41,-9.31
118,920090,同辉信息,6.7,4.52,0.29,90903.0,60276607.43,6.55,6.79,6.37,6.45,6.41,3.56,6.72,-24.4,20.8,1335534758.0,906827580.0,0.3,0.0,-24.63,21.38
119,601828,美凯龙,3.01,4.51,0.13,1450420.0,439424600.0,11.11,3.16,2.84,2.89,2.88,2.25,4.01,-3.13,0.3,13107745346.0,10876475587.0,0.0,0.0,-1.31,-6.23
120,300507,苏奥传感,9.54,4.49,0.41,418847.0,394299882.91,6.13,9.62,9.06,9.21,9.13,5.08,5.4,66.77,3.61,7638171493.0,7393421276.0,-0.42,-0.63,10.8,43.67
121,603686,福龙马,27.93,4.49,1.2,612656.0,1704617138.0,5.5,28.5,27.03,27.15,26.73,1.54,14.75,76.83,3.42,11602971184.0,11602971184.0,0.32,0.36,50.73,172.75
122,600721,百花医药,10.48,4.49,0.45,347497.0,365269233.0,7.48,10.75,10.0,10.03,10.03,2.03,9.04,92.51,5.08,4030059215.0,4030059215.0,0.19,0.29,3.46,59.03
123,300782,卓胜微,73.33,4.49,3.15,213913.0,1589244211.44,9.4,76.6,70.0,70.0,70.18,6.84,4.77,-172.32,3.92,39227384709.0,32869990642.0,0.16,0.16,-8.83,-18.16
124,000882,华联股份,2.14,4.39,0.09,2304466.0,499172453.62,9.76,2.25,2.05,2.06,2.05,2.4,8.42,-32.01,0.87,5857933167.0,5854000529.0,0.0,0.0,-7.76,2.88
125,601778,晶科科技,3.87,4.31,0.16,3941010.0,1512217035.0,8.36,3.97,3.66,3.73,3.71,7.78,11.04,29.14,0.87,13819746683.0,13819746683.0,-0.77,-0.77,-3.25,38.71
126,000564,供销大集,2.69,4.26,0.11,6584203.0,1743623645.45,6.2,2.7,2.54,2.54,2.58,2.65,4.47,503.52,3.09,48576190422.0,39583395956.0,0.0,0.37,1.13,-22.03
127,001285,瑞立科密,53.39,4.24,2.17,39382.0,207763863.59,2.87,53.45,51.98,52.52,51.22,2.2,9.69,30.39,2.6,9619713244.0,2168877506.0,0.07,0.0,26.28,26.28
128,002920,德赛西威,115.85,4.19,4.66,151299.0,1761558352.46,4.11,118.98,114.41,117.09,111.19,4.7,2.74,29.01,4.72,69144219149.0,64080783820.0,0.13,0.03,-9.24,6.37
129,920020,泰凯英,18.01,4.16,0.72,45769.0,82251678.16,5.09,18.42,17.54,17.54,17.29,3.65,11.49,23.06,3.58,3984712500.0,717248250.0,-0.39,-0.39,140.13,140.13
130,920790,联迪信息,36.52,4.13,1.45,18198.0,64980693.42,6.33,36.79,34.57,35.07,35.07,1.99,3.35,310.88,8.89,2883875570.0,1984823946.0,-0.19,-0.08,-27.4,8.05
131,603159,上海亚虹,22.85,4.1,0.9,35562.0,81444437.0,7.88,23.8,22.07,22.27,21.95,2.69,2.54,-568.46,6.38,3199000000.0,3199000000.0,-0.44,-0.44,-3.01,47.8
132,003006,百亚股份,21.19,4.08,0.83,48777.0,102620307.36,4.67,21.29,20.34,20.38,20.36,3.01,1.14,27.92,6.2,9104236670.0,9081461128.0,-0.05,0.05,-24.86,-9.6
133,300964,本川智能,59.49,4.04,2.31,62166.0,366797648.7,11.63,61.88,55.23,56.61,57.18,1.99,11.11,104.27,4.48,4598474915.0,3327384805.0,0.08,0.69,24.2,66.64
134,600336,澳柯玛,8.82,4.01,0.34,477615.0,421084025.0,7.31,9.06,8.44,8.44,8.48,2.27,5.99,-582.72,2.91,7038490263.0,7038490263.0,0.0,-0.34,32.04,30.67
135,301078,孩子王,10.71,3.98,0.41,919717.0,979884641.13,5.34,10.85,10.3,10.3,10.3,3.04,7.33,48.44,3.25,13507480017.0,13432535882.0,-0.19,-0.28,-6.71,-5.31
